Row,CUSIP,Issuer Name,Yield at Issue,Amt Issued,Issue Date,Maturity,Tax Prov,Fin Typ,BICS Level 2,Self-reported Green,Mgmt of Proc,ESG Reporting,ESG Assurance Providers,Proj Sel Proc,ESG Framework,Industry,Kestrel Total ESG Impact Score,ESG Project Categories,Project Subcategory,Issuer Type
2,237190AC7,AR City of Dardanell...,4,755.00M,10/07/2025,10/01/2035,FED & ST TAX-EXEMPT,REFUNDING...|Utilities,Yes,No,No,No,No,No,SALESTAX|CITY...,Sustainable Water,Infrastructure,,,
3,237190AD5,AR City of Dardanell...,4.25,815.00M,10/07/2025,10/01/2037,FED & ST TAX-EXEMPT,REFUNDING...|Utilities,Yes,No,No,No,No,No,SALESTAX|CITY...,Sustainable Water,Infrastructure,,,
4,237190AE3,AR City of Dardanell...,4.47,1.36MM,10/07/2025,10/01/2040,FED & ST TAX-EXEMPT,REFUNDING...|Utilities,Yes,No,No,No,No,No,SALESTAX|CITY...,Sustainable Water,Infrastructure,,,
5,237190AG8,AR City of Dardanell...,5.05,3.41MM,10/07/2025,10/01/2050,FED & ST TAX-EXEMPT,REFUNDING...|Utilities,Yes,No,No,No,No,No,SALESTAX|CITY...,Sustainable Water,Infrastructure,,,
6,237190AH6,AR City of Dardanell...,5.15,4.37MM,10/07/2025,10/01/2055,FED & ST TAX-EXEMPT,REFUNDING...|Utilities,Yes,No,No,No,No,No,SALESTAX|CITY...,Sustainable Water,Infrastructure,,,
7,441178DF4,AR City of Hot Spring...,4.781,375.00M,04/15/2025,12/01/2028,FED TAXABLE/ST TAX-EX...,NEW MONEY|Utilities,Yes,No,No,No,No,No,WTRSWR|CITY...,Sustainable Water,Infrastructure,,,
8,441178DG2,AR City of Hot Spring...,4.811,1.15MM,04/15/2025,12/01/2029,FED TAXABLE/ST TAX-EX...,NEW MONEY|Utilities,Yes,No,No,No,No,No,WTRSWR|CITY...,Sustainable Water,Infrastructure,,,
9,441178DJ6,AR City of Hot Spring...,4.966,1.26MM,04/15/2025,12/01/2031,FED TAXABLE/ST TAX-EX...,NEW MONEY|Utilities,Yes,No,No,No,No,No,WTRSWR|CITY...,Sustainable Water,Infrastructure,,,
10,441178DK3,AR City of Hot Spring...,5.016,1.33MM,04/15/2025,12/01/2032,FED TAXABLE/ST TAX-EX...,NEW MONEY|Utilities,Yes,No,No,No,No,No,WTRSWR|CITY...,Sustainable Water,Infrastructure,,,
11,441178DL1,AR City of Hot Spring...,5.129,1.40MM,04/15/2025,12/01/2033,FED TAXABLE/ST TAX-EX...,NEW MONEY|Utilities,Yes,No,No,No,No,No,WTRSWR|CITY...,Sustainable Water,Infrastructure,,,
12,441178DM9,AR City of Hot Spring...,5.229,1.47MM,04/15/2025,12/01/2034,FED TAXABLE/ST TAX-EX...,NEW MONEY|Utilities,Yes,No,No,No,No,No,WTRSWR|CITY...,Sustainable Water,Infrastructure,,,
13,441178DQ0,AR City of Hot Spring...,5.499,3.91MM,04/15/2025,12/01/2040,FED TAXABLE/ST TAX-EX...,NEW MONEY|Utilities,Yes,No,No,No,No,No,WTRSWR|CITY...,Sustainable Water,Infrastructure,,,
14,441178DU1,AR City of Hot Spring...,4.64,18.25MM,04/15/2025,12/01/2055,FED & ST TAX-EXEMPT,NEW MONEY|Utilities,Yes,No,No,No,No,Yes,WTRSWR|CITY...,Sustainable Water,Infrastructure,,,
15,441178DT4,AR City of Hot Spring...,4.55,14.70MM,04/15/2025,12/01/2050,FED & ST TAX-EXEMPT,NEW MONEY|Utilities,Yes,No,No,No,No,No,WTRSWR|CITY...,Sustainable Water,Infrastructure,,,
16,04108KU97,AR Arkansas Develop...,3.01,2.06MM,03/05/2025,06/01/2033,FED & ST TAX-EXEMPT,NEW MONEY|Financing...,No,No,No,No,No,No,WTRSWR,Sustainable Water,Infrastructure,,,
17,04108KW46,AR Arkansas Develop...,3.92,3.53MM,03/05/2025,06/01/2044,FED & ST TAX-EXEMPT,NEW MONEY|Financing...,No,No,No,No,No,No,WTRSWR,Sustainable Water,Infrastructure,,,
