fips,geo_name,state_abb,year,total_bridges,deficient_bridges,poor_bridges,fair_bridges,good_bridges,bridge_imp_cost_k,roadway_imp_cost_k,total_imp_cost_k,total_deck_area_sqm,deficient_deck_area_sqm,total_adt,avg_min_condition,avg_sufficiency,avg_bridge_age,scour_critical_count,pct_deficient,pct_poor,imp_cost_per_bridge_k,cwns_facility_count,cwns_total_needs_cost,cwns_total_design_flow
4801000,abilene,TX,1992,180,2,2,20,63,1614.0,405.0,4079.0,65791.06,3827.2199999999993,1311150.0,6.941176470588236,85.04730538922155,33.083333333333336,0,1.11,1.11,22.7,,,
4801000,abilene,TX,1993,180,2,2,20,63,1707.0,429.0,4196.0,65791.06,3827.2199999999993,1189190.0,6.952941176470588,85.3125748502994,34.083333333333336,0,1.11,1.11,23.3,,,
4801000,abilene,TX,1994,183,1,1,26,58,1962.0,493.0,4328.0,66393.52,781.6599999999999,1218910.0,6.670588235294118,85.57352941176471,34.52459016393443,0,0.55,0.55,23.7,,,
4801000,abilene,TX,1995,184,1,1,27,57,2083.0,523.0,4479.0,67014.5,781.6599999999999,1305180.0,6.623529411764705,85.93859649122807,35.33695652173913,0,0.54,0.54,24.3,,,
4801000,abilene,TX,1996,184,0,0,34,53,2487.0,624.0,4894.0,69192.42,0.0,1021230.0,6.620689655172414,87.47777777777779,36.33695652173913,0,0.0,0.0,26.6,,,
4801000,abilene,TX,1997,188,1,1,32,58,2618.0,601.0,4911.0,73278.51,165.49,1432224.0,6.626373626373627,87.11714285714285,36.38297872340426,0,0.53,0.53,26.1,,,
4801000,abilene,TX,1998,193,1,1,43,50,2608.0,597.0,4897.0,75905.2,165.49,1459354.0,6.531914893617022,87.00561797752809,36.45077720207254,0,0.52,0.52,25.4,,,
4801000,abilene,TX,1999,193,1,1,42,50,2778.0,640.0,5014.0,75882.14,165.49,1459354.0,6.537634408602151,87.04044943820224,37.2279792746114,0,0.52,0.52,26.0,,,
4801000,abilene,TX,2000,197,0,0,34,62,2815.0,649.0,5060.0,84197.5,0.0,1236590.0,6.677083333333333,89.40441988950276,37.83589743589744,0,0.0,0.0,25.7,,,
4801000,abilene,TX,2001,198,0,0,34,62,2815.0,649.0,5060.0,84544.38,0.0,1645110.0,6.677083333333333,88.70934065934067,38.31818181818182,0,0.0,0.0,25.6,,,
4801000,abilene,TX,2002,202,0,0,40,58,2815.0,649.0,5060.0,90958.88,0.0,1792993.0,6.551020408163265,88.18641304347825,38.57920792079208,0,0.0,0.0,25.0,,,
4801000,abilene,TX,2003,204,0,0,40,60,2443.0,791.0,4530.0,92147.1,0.0,1854293.0,6.59,88.53924731182795,39.20098039215687,0,0.0,0.0,22.2,,,
4801000,abilene,TX,2004,235,0,0,44,72,2574.0,824.0,4694.0,109547.43,0.0,2219614.0,6.715517241379311,89.59716981132075,37.731914893617024,0,0.0,0.0,20.0,,,
4801000,abilene,TX,2005,235,0,0,43,73,2566.0,822.0,3663.0,109600.14,0.0,2109664.0,6.75,89.94245283018867,38.51914893617021,0,0.0,0.0,15.6,,,
4801000,abilene,TX,2006,239,0,0,53,65,2594.0,829.0,3901.0,121185.19,0.0,2149944.0,6.52542372881356,89.6553488372093,39.07531380753138,0,0.0,0.0,16.3,,,
4801000,abilene,TX,2007,239,0,0,53,65,2599.0,830.0,3907.0,121185.19,0.0,2184574.0,6.52542372881356,89.38837209302325,40.07531380753138,0,0.0,0.0,16.3,,,
4801000,abilene,TX,2008,247,0,0,59,62,2525.0,813.0,3816.0,122598.93,0.0,2290160.0,6.43801652892562,89.92752293577982,40.14979757085021,0,0.0,0.0,15.4,,,
4801000,abilene,TX,2009,257,0,0,63,61,2549.0,819.0,3846.0,126515.96,0.0,2457629.0,6.395161290322581,89.31497797356828,41.07003891050584,0,0.0,0.0,15.0,,,
4801000,abilene,TX,2010,231,0,0,73,55,2665.0,851.0,3994.0,130147.81,0.0,2117114.0,6.3359375,90.28311688311688,43.25974025974026,0,0.0,0.0,17.3,,,
4801000,abilene,TX,2011,237,0,0,73,60,2665.0,851.0,3994.0,146345.29,0.0,2121514.0,6.37593984962406,90.35485232067508,43.16455696202532,0,0.0,0.0,16.9,,,
4801000,abilene,TX,2012,237,0,0,77,56,2665.0,851.0,3994.0,148311.13999999998,0.0,2135244.0,6.360902255639098,90.4139240506329,44.16455696202532,0,0.0,0.0,16.9,,,
4801000,abilene,TX,2013,237,0,0,79,54,2665.0,851.0,3994.0,148571.06,0.0,2120174.0,6.345864661654136,90.3071729957806,45.16455696202532,0,0.0,0.0,16.9,,,
4801000,abilene,TX,2014,237,0,0,82,51,2665.0,851.0,3994.0,148573.07,0.0,2120174.0,6.30827067669173,90.22236286919832,46.16455696202532,0,0.0,0.0,16.9,,,
4801000,abilene,TX,2015,237,0,0,82,51,2665.0,851.0,3994.0,148580.06,0.0,2120174.0,6.30827067669173,89.96919831223629,47.16455696202532,0,0.0,0.0,16.9,,,
