fips,geo_name,state_abb,facility_count_2022,total_needs_2022,design_flow_2022,tier0_needs,tier1_needs,tier2_needs,tier3_needs
107000,birmingham,AL,1.0,49451828.44426595,120.0,5476198.0,,,43975630.44426595
1077580,wilmington,DE,1.0,311288327.0,210.0,189434171.0,,11643647.0,110210509.0
1150000,washington,DC,2.0,3872103407.0,1816.0,3872103407.0,,,
120104,decatur,AL,1.0,77763065.97470002,72.0,61438820.0,,,16324245.974700019
1207300,boca raton,FL,1.0,326203779.2296457,40.0,113160974.0,,212842630.7105782,200174.51906754525
1207875,boynton beach,FL,1.0,159818227.60459882,0.0,41997706.0,,117709817.71941918,110703.8851796249
1207950,bradenton,FL,1.0,112151990.15064497,18.0,20168276.0,21041755.0,70843595.0,98364.15064497147
1210275,cape coral,FL,2.0,917970576.5275816,56.8,517408638.0,,399833882.0,728056.5275816172
121184,dothan,AL,2.0,52193999.23549042,95.94,25330930.0,,,26863069.23549042
1212875,clearwater,FL,10.0,280370039.69380474,57.0,270450308.0,,9740160.739890028,179570.9539147206
1214400,coral springs,FL,1.0,37131128.43331746,15.44,17950902.0,9856140.0,9167224.440370554,156861.99294691125
1216475,davie,FL,2.0,145189714.98393422,9.7,130959897.0,,13990425.350222051,239392.63371216337
1216525,daytona beach,FL,3.0,368604784.079739,41.0,120363830.0,,247778685.7059498,462268.37378917285
1216725,deerfield beach,FL,2.0,20164809.218013644,0.0,14065028.0,,5997162.709997807,102618.5080158384
1217100,delray beach,FL,1.0,158428612.8786875,48.0,42156213.0,,116163150.6050429,109249.27364459433
1217200,deltona,FL,3.0,162831501.03401282,2.0,25325312.0,,137250128.29405016,256060.73996268024
1224000,fort lauderdale,FL,3.0,387694375.9684454,111.4,373592061.0,,13865067.35743972,237247.61100571963
1225175,gainesville,FL,2.0,111304756.32928051,15.0,1051921.0,1037998.0,108775860.0,438977.3292805057
1230000,hialeah,FL,1.0,124185516.21330215,0.0,38771635.0,,85265821.49195653,148059.72134561482
1232000,hollywood,FL,2.0,441449345.3363885,97.5,430336515.0,,10925875.750937905,186954.58545063983
1235000,jacksonville,FL,11.0,1250089729.9581242,235.7,1027676389.0,,217286754.0,5126586.958124096
1235875,jupiter,FL,1.0,158285244.08210596,0.0,366806.0,,157770058.2888484,148379.79325755074
1236950,kissimmee,FL,2.0,140926447.56714582,14.0,28936813.0,31476026.0,80365936.0,147672.56714583127
1238250,lakeland,FL,2.0,469709386.8689667,21.7,59478041.0,,409774702.0,456643.86896669475
1239425,largo,FL,2.0,32584373.17522598,36.0,25523856.0,,6932704.86704849,127812.30817749104
1239550,lauderhill,FL,1.0,35816578.44795655,0.0,32343977.0,,3414180.7986272597,58420.64932928609
1243975,melbourne,FL,3.0,187152981.07778627,18.0,94887421.0,,91962422.36826631,303137.70951995504
1245000,miami,FL,5.0,7708190373.187848,143.0,7346224324.0,219504330.0,142214770.5403243,246948.64752364214
1245025,miami beach,FL,1.0,934507366.6852462,0.0,307617028.0,596445124.0,30392439.773972176,52774.911274058315
