fips,geo_name,state_abb,year,cwns_needs_real,cwns_flow_interp,cwns_facilities_interp,cwns_source
107000,birmingham,AL,2012,14360887.118364548,60.0,1.0,2012
107000,birmingham,AL,2013,16998595.955277245,66.0,1.0,interpolated
107000,birmingham,AL,2014,19636304.79218994,72.0,1.0,interpolated
107000,birmingham,AL,2015,22274013.629102636,78.0,1.0,interpolated
107000,birmingham,AL,2016,24911722.46601533,84.0,1.0,interpolated
107000,birmingham,AL,2017,27549431.30292803,90.0,1.0,interpolated
107000,birmingham,AL,2018,30187140.139840722,96.0,1.0,interpolated
107000,birmingham,AL,2019,32824848.97675342,102.0,1.0,interpolated
107000,birmingham,AL,2020,35462557.81366612,108.0,1.0,interpolated
107000,birmingham,AL,2021,38100266.65057881,114.0,1.0,interpolated
107000,birmingham,AL,2022,40737975.48749151,120.0,1.0,2022
107000,birmingham,AL,2023,40737975.48749151,120.0,1.0,2022
107000,birmingham,AL,2024,40737975.48749151,120.0,1.0,2022
107000,birmingham,AL,2025,40737975.48749151,120.0,1.0,2022
1077580,wilmington,DE,2012,49981298.122744456,105.0,1.0,2012
1077580,wilmington,DE,2013,70626823.22438385,115.5,1.0,interpolated
1077580,wilmington,DE,2014,91272348.32602322,126.0,1.0,interpolated
1077580,wilmington,DE,2015,111917873.42766261,136.5,1.0,interpolated
1077580,wilmington,DE,2016,132563398.529302,147.0,1.0,interpolated
1077580,wilmington,DE,2017,153208923.6309414,157.5,1.0,interpolated
1077580,wilmington,DE,2018,173854448.73258075,168.0,1.0,interpolated
1077580,wilmington,DE,2019,194499973.8342201,178.5,1.0,interpolated
1077580,wilmington,DE,2020,215145498.93585956,189.0,1.0,interpolated
1077580,wilmington,DE,2021,235791024.0374989,199.5,1.0,interpolated
1077580,wilmington,DE,2022,256436549.1391383,210.0,1.0,2022
1077580,wilmington,DE,2023,256436549.1391383,210.0,1.0,2022
1077580,wilmington,DE,2024,256436549.1391383,210.0,1.0,2022
1077580,wilmington,DE,2025,256436549.1391383,210.0,1.0,2022
1150000,washington,DC,2012,3153393810.3040233,370.001,2.0,2012
1150000,washington,DC,2013,3157034856.5740576,514.6009,2.0,interpolated
1150000,washington,DC,2014,3160675902.844092,659.2008000000001,2.0,interpolated
1150000,washington,DC,2015,3164316949.114126,803.8007,2.0,interpolated
1150000,washington,DC,2016,3167957995.3841605,948.4006,2.0,interpolated
1150000,washington,DC,2017,3171599041.654195,1093.0005,2.0,interpolated
1150000,washington,DC,2018,3175240087.9242287,1237.6003999999998,2.0,interpolated
1150000,washington,DC,2019,3178881134.194263,1382.2003,2.0,interpolated
1150000,washington,DC,2020,3182522180.4642973,1526.8002000000001,2.0,interpolated
1150000,washington,DC,2021,3186163226.7343316,1671.4001,2.0,interpolated
1150000,washington,DC,2022,3189804273.004366,1816.0,2.0,2022
1150000,washington,DC,2023,3189804273.004366,1816.0,2.0,2022
1150000,washington,DC,2024,3189804273.004366,1816.0,2.0,2022
1150000,washington,DC,2025,3189804273.004366,1816.0,2.0,2022
120104,decatur,AL,2012,53048392.07119221,36.0,1.0,2012
120104,decatur,AL,2013,54149604.92558547,39.6,1.0,interpolated
120104,decatur,AL,2014,55250817.77997874,43.2,1.0,interpolated
120104,decatur,AL,2015,56352030.634371996,46.8,1.0,interpolated
120104,decatur,AL,2016,57453243.488765255,50.4,1.0,interpolated
120104,decatur,AL,2017,58554456.34315851,54.0,1.0,interpolated
120104,decatur,AL,2018,59655669.19755178,57.599999999999994,1.0,interpolated
120104,decatur,AL,2019,60756882.05194504,61.2,1.0,interpolated
120104,decatur,AL,2020,61858094.906338304,64.8,1.0,interpolated
120104,decatur,AL,2021,62959307.76073156,68.4,1.0,interpolated
120104,decatur,AL,2022,64060520.61512482,72.0,1.0,2022
120104,decatur,AL,2023,64060520.61512482,72.0,1.0,2022
120104,decatur,AL,2024,64060520.61512482,72.0,1.0,2022
120104,decatur,AL,2025,64060520.61512482,72.0,1.0,2022
1207300,boca raton,FL,2012,96372203.38454752,20.0,2.0,2012
1207300,boca raton,FL,2013,113607359.61991645,22.0,1.9,interpolated
1207300,boca raton,FL,2014,130842515.85528538,24.0,1.8,interpolated
1207300,boca raton,FL,2015,148077672.0906543,26.0,1.7,interpolated
1207300,boca raton,FL,2016,165312828.32602325,28.0,1.6,interpolated
