fips,year,srf_strict_count,srf_strict_amount,srf_incl_count,srf_incl_amount,srf_strict_amount_real,srf_incl_amount_real
1077580,2019,1.0,15107399.0,1,15107399.0,14466116.07442092,14466116.07442092
1077580,2021,1.0,1369500.0,1,1369500.0,1217246.773562769,1217246.773562769
1077580,2023,5.0,51884000.0,5,51884000.0,41972931.64958379,41972931.64958379
1077580,2024,3.0,22320100.0,3,22320100.0,17635286.21656856,17635286.21656856
1077580,2025,1.0,2000000.0,1,2000000.0,1544198.8310414848,1544198.8310414848
1207300,2025,1.0,742000.0,1,742000.0,572897.766316391,572897.766316391
1210275,2020,1.0,12000000.0,1,12000000.0,11284771.201263895,11284771.201263895
121184,2025,1.0,10004000.0,1,10004000.0,7724082.552869507,7724082.552869507
1216525,2017,1.0,19609300.0,1,19609300.0,19609300.0,19609300.0
1216525,2019,2.0,11355202.0,2,11355202.0,10873193.339270154,10873193.339270154
1216525,2023,2.0,21137394.0,2,21137394.0,17099652.949123476,17099652.949123476
1216725,2023,1.0,6158816.0,1,6158816.0,4982336.809235275,4982336.809235275
1217200,2021,1.0,7144000.0,1,7144000.0,6349770.682973656,6349770.682973656
1232000,2019,2.0,38335000.0,2,38335000.0,36707745.63595798,36707745.63595798
1232000,2021,1.0,24000000.0,1,24000000.0,21331816.404166818,21331816.404166818
1238250,2017,2.0,3744986.0,2,3744986.0,3744986.0,3744986.0
1238250,2018,1.0,10843750.0,1,10843750.0,10497845.975119803,10497845.975119803
1238250,2021,2.0,3252800.0,2,3252800.0,2891172.1833114093,2891172.1833114093
1239425,2020,1.0,20000000.0,1,20000000.0,18807952.00210649,18807952.00210649
1243975,2022,1.0,12000000.0,1,12000000.0,9885493.038965318,9885493.038965318
1245025,2015,1.0,7500000.0,1,7500000.0,7648690.544178837,7648690.544178837
1245975,2017,2.0,17862000.0,2,17862000.0,17862000.0,17862000.0
1245975,2021,1.0,11950000.0,1,11950000.0,10621466.917908061,10621466.917908061
1253000,2018,1.0,1706550.0,1,1706550.0,1652112.880584733,1652112.880584733
1253000,2019,1.0,7040000.0,1,7040000.0,6741164.19139544,6741164.19139544
1253000,2020,2.0,5648417.0,2,5648417.0,5311757.791194118,5311757.791194118
1253000,2021,1.0,12000000.0,1,12000000.0,10665908.202083409,10665908.202083409
1253000,2024,2.0,2778999.0,2,2778999.0,2195708.9242681623,2195708.9242681623
1254000,2021,2.0,18938800.0,2,18938800.0,16833291.85480144,16833291.85480144
1258050,2017,2.0,6695815.0,2,6695815.0,6695815.0,6695815.0
1258050,2021,1.0,8672665.0,1,8672665.0,7708487.3964518085,7708487.3964518085
1258050,2022,2.0,4722358.0,2,4722358.0,3890236.4280418484,3890236.4280418484
1258050,2023,1.0,4735500.0,1,4735500.0,3830907.752420862,3830907.752420862
1258050,2024,1.0,875000.0,1,875000.0,691344.3685063011,691344.3685063011
1263000,2017,1.0,4049316.0,1,4049316.0,4049316.0,4049316.0
1301052,2023,1.0,25000000.0,1,25000000.0,20224410.05395873,20224410.05395873
1301052,2025,1.0,12000000.0,1,12000000.0,9265192.98624891,9265192.98624891
1304000,2020,,,1,49957833.75,,46980226.96496079
1304000,2022,,,1,2000000.0,,1647582.1731608864
1304000,2024,,,1,10000000.0,,7901078.49721487
1319000,2021,,,2,38005000.0,,33779820.10168166
1319000,2023,,,3,27626000.0,,22348782.086026553
1369000,2015,1.0,28470000.0,1,28470000.0,29034429.305702865,29034429.305702865
150000,2021,,,1,36013600.0,,32009812.63554592
150000,2022,,,1,41015000.0,,33787791.41609688
150000,2023,,,1,37932600.0,,30686578.27251179
150000,2024,,,1,12015000.0,,9493145.814403666
150000,2025,,,2,25410000.0,,19619046.148382068
1517000,2018,,,1,10556794.0,,10220043.564548139
1517000,2019,,,2,38381046.269999996,,36751837.32153629
1517000,2024,,,2,39634000.0,,31315134.515861414
1656260,2024,1.0,440640.0,1,440640.0,348153.122901276,348153.122901276
1702154,2016,,,1,154041.9920709659,,157245.07423309403
1702154,2017,,,1,372436.81249301665,,372436.81249301665
1702154,2018,,,4,708516.6995691179,,685915.7747897941
1702154,2019,,,4,1554634.744680818,,1488643.1919803298
1702154,2020,,,1,112274.78049704994,,105582.93413177786
1702154,2021,,,4,2115452.4000307308,,1880268.4253837336
1702154,2022,,,3,2935210.3059356296,,2418000.0872688275
1702154,2023,,,3,2923412.620854673,,2364971.8240433233
1702154,2024,,,2,2631163.284344523,,2078902.7648595767
1702154,2025,,,2,713559.8879629824,,550939.1724352652
1705573,2021,1.0,7212676.76,1,7212676.76,6410812.3511216985,6410812.3511216985
1706613,2021,1.0,2616998.05,1,2616998.05,2326055.080527607,2326055.080527607
1706613,2022,1.0,2205533.65,1,2205533.65,1816898.9620232307,1816898.9620232307
1706613,2024,,,1,43233100.0,,34158811.67779402
1712385,2019,1.0,6456936.17,1,6456936.17,6182850.411268468,6182850.411268468
1712385,2020,,,1,3358040.0,,3157892.757057684
1712385,2024,,,1,43084944.0,,34041752.45921068
1714000,2014,1.0,60000000.0,1,60000000.0,61130299.23281475,61130299.23281475
1714000,2015,1.0,4775222.4,1,4775222.4,4869893.122297463,4869893.122297463
1714000,2016,,,1,2111803.058202365,,2155714.9721857896
1714000,2017,,,1,5105836.330963268,,5105836.330963268
1714000,2018,,,4,9713245.802795125,,9403403.652446996
1714000,2019,,,4,21312905.42316614,,20408209.49619961
1714000,2020,2.0,69306871.93,3,70846077.06247737,65176016.03377909,66623480.8464306
1714000,2021,,,4,29001305.344118934,,25777105.045080293
1714000,2022,3.0,107662003.58,6,147901590.31350785,88690998.91259576,121840011.79134019
1714000,2023,1.0,37505470.75,4,77583319.84886214,30341040.7885902,62763074.95883293
1714000,2024,,,2,36071324.421387054,,28500236.575188287
1714000,2025,,,2,9782384.227519907,,7552973.14446745
1718823,2019,1.0,5911143.31,1,5911143.31,5660225.513008339,5660225.513008339
1718823,2025,1.0,10369266.15,1,10369266.15,8006104.33379402,8006104.33379402
1724582,2022,1.0,1223701.8,1,1223701.8,1008074.6354724442,1008074.6354724442
1735411,2016,,,1,191132.05415163384,,195106.37092742548
1735411,2017,,,1,462111.74015902745,,462111.74015902745
1735411,2018,,,4,879112.5742323204,,851069.8235464644
1735411,2019,,,4,1928957.9952293485,,1847077.0687707416
1735411,2020,,,1,139308.17913558806,,131005.07733414965
1735411,2021,,,4,2624808.7111961357,,2332997.396803904
1735411,2022,,,3,3641947.0275486214,,3000203.499092694
1735411,2023,,,3,3627308.708779551,,2934407.148746128
1735411,2024,,,2,3264691.8972162236,,2579458.694912672
1735411,2025,,,2,885370.0560022845,,683593.7027589309
1738570,2017,3.0,64526548.54,3,64526548.54,64526548.54,64526548.54
1738570,2018,1.0,14601968.55,1,14601968.55,14136181.373735419,14136181.373735419
1738570,2019,3.0,35702869.12,3,35702869.12,34187344.1536679,34187344.1536679
