state_abb,year,gdp_m
AL,1997,105381.4
AL,1998,110838.8
AL,1999,116514.3
AL,2000,120522.6
AL,2001,123534.5
AL,2002,128380.9
AL,2003,135212.6
AL,2004,148379.1
AL,2005,158677.3
AL,2006,166048.2
AL,2007,172247.0
AL,2008,174665.6
AL,2009,170876.5
AL,2010,177510.7
AL,2011,182896.7
AL,2012,188280.7
AL,2013,193981.5
AL,2014,197064.4
AL,2015,203113.3
AL,2016,208824.3
AL,2017,216615.5
AL,2018,226263.8
AL,2019,234798.2
AL,2020,235859.0
AL,2021,260325.0
AL,2022,286873.3
AL,2023,309543.8
AL,2024,325345.1
AK,1997,25859.1
AK,1998,24387.8
AK,1999,24920.4
AK,2000,26934.0
AK,2001,28660.9
AK,2002,29884.5
AK,2003,32115.8
AK,2004,35389.5
AK,2005,40459.9
AK,2006,44951.7
AK,2007,49456.4
AK,2008,55246.7
AK,2009,50165.9
AK,2010,53654.0
AK,2011,56912.3
AK,2012,58320.7
AK,2013,57533.0
AK,2014,56587.4
AK,2015,51574.2
AK,2016,51121.8
AK,2017,53550.9
AK,2018,54762.0
AK,2019,54549.6
AK,2020,51861.7
AK,2021,59363.0
AK,2022,65682.5
AK,2023,68232.7
AK,2024,71567.2
AZ,1997,132694.8
AZ,1998,144393.2
AZ,1999,156442.1
AZ,2000,165735.6
AZ,2001,172899.6
AZ,2002,180844.5
AZ,2003,194318.0
AZ,2004,207246.3
AZ,2005,227997.8
AZ,2006,246061.1
AZ,2007,261152.8
AZ,2008,261005.8
AZ,2009,244862.2
AZ,2010,250527.0
AZ,2011,261691.4
AZ,2012,272703.3
AZ,2013,278679.5
AZ,2014,286676.0
AZ,2015,298942.2
AZ,2016,313787.1
AZ,2017,333099.0
AZ,2018,353671.0
AZ,2019,375376.7
AZ,2020,390503.2
AZ,2021,438136.0
AZ,2022,488722.2
AZ,2023,530105.0
AZ,2024,570088.6
AR,1997,59925.0
AR,1998,62852.0
AR,1999,67279.0
AR,2000,69176.3
AR,2001,71099.6
AR,2002,74453.1
AR,2003,79009.7
AR,2004,85928.6
AR,2005,91133.4
AR,2006,96073.7
AR,2007,98325.0
AR,2008,100206.7
AR,2009,97783.9
AR,2010,101699.3
AR,2011,105697.6
AR,2012,108836.0
AR,2013,114021.1
AR,2014,117388.7
AR,2015,118573.6
AR,2016,120987.4
AR,2017,123882.6
AR,2018,129213.8
AR,2019,132625.8
AR,2020,136145.9
AR,2021,154261.8
AR,2022,167863.5
AR,2023,178114.8
AR,2024,188339.6
CA,1997,1068048.6
CA,1998,1143672.5
CA,1999,1239773.5
CA,2000,1354791.3
CA,2001,1373270.8
CA,2002,1419321.8
CA,2003,1498578.0
CA,2004,1585081.4
CA,2005,1698858.4
CA,2006,1812161.6
CA,2007,1900220.4
CA,2008,1946241.5
CA,2009,1879809.5
CA,2010,1938603.3
CA,2011,2014050.3
CA,2012,2108873.1
CA,2013,2223300.9
CA,2014,2342218.8
CA,2015,2487156.4
CA,2016,2586485.2
CA,2017,2740550.3
CA,2018,2899530.9
CA,2019,3068629.7
CA,2020,3072927.6
CA,2021,3418256.1
CA,2022,3618289.7
CA,2023,3827007.3
CA,2024,4048108.1
CO,1997,136624.4
CO,1998,149653.7
CO,1999,162411.7
CO,2000,179303.3
CO,2001,185848.9
CO,2002,189604.6
CO,2003,195137.6
CO,2004,203743.3
CO,2005,220803.8
CO,2006,232853.6
CO,2007,248571.6
CO,2008,257606.1
CO,2009,249817.1
CO,2010,256771.8
CO,2011,266114.1
CO,2012,274738.8
CO,2013,291265.3
CO,2014,309223.9
CO,2015,320895.9
CO,2016,330565.9
CO,2017,350209.1
CO,2018,373923.1
CO,2019,397843.6
CO,2020,396981.1
CO,2021,445781.3
CO,2022,499197.4
CO,2023,533268.6
CO,2024,557633.0
CT,1997,138467.0
CT,1998,145299.2
CT,1999,152093.7
CT,2000,165523.4
CT,2001,171124.4
CT,2002,172929.7
CT,2003,177814.8
CT,2004,194722.9
CT,2005,204504.6
CT,2006,219812.2
CT,2007,232626.8
CT,2008,236110.7
CT,2009,231628.0
CT,2010,234022.2
CT,2011,233058.7
CT,2012,239907.5
CT,2013,240549.2
CT,2014,247114.7
CT,2015,260648.5
CT,2016,264760.4
CT,2017,273875.1
CT,2018,280535.4
CT,2019,286451.9
CT,2020,278747.9
CT,2021,297366.0
CT,2022,321625.2
CT,2023,341851.8
CT,2024,356834.9
DE,1997,33302.2
DE,1998,37170.6
DE,1999,40446.5
