state_abb,year,population_k
AL,1900,1830.0
AL,1901,1907.0
AL,1902,1935.0
AL,1903,1957.0
AL,1904,1978.0
AL,1905,2012.0
AL,1906,2045.0
AL,1907,2058.0
AL,1908,2070.0
AL,1909,2108.0
AL,1910,2150.0
AL,1911,2185.0
AL,1912,2217.0
AL,1913,2279.0
AL,1914,2336.0
AL,1915,2345.0
AL,1916,2359.0
AL,1917,2361.0
AL,1918,2343.0
AL,1919,2337.0
AL,1920,2359.0
AL,1921,2402.0
AL,1922,2434.0
AL,1923,2464.0
AL,1924,2501.0
AL,1925,2534.0
AL,1926,2567.0
AL,1927,2609.0
AL,1928,2640.0
AL,1929,2644.0
AL,1930,2647.0
AL,1931,2649.0
AL,1932,2653.0
AL,1933,2661.0
AL,1934,2685.0
AL,1935,2719.0
AL,1936,2743.0
AL,1937,2762.0
AL,1938,2787.0
AL,1939,2814.0
AL,1940,2845.0
AL,1941,2902.0
AL,1942,2941.0
AL,1943,2902.0
AL,1944,2802.0
AL,1945,2775.0
AL,1946,2911.0
AL,1947,2942.0
AL,1948,2969.0
AL,1949,3000.0
AL,1950,3058.0
AL,1951,3059.0
AL,1952,3068.0
AL,1953,3053.0
AL,1954,3014.0
AL,1955,3050.0
AL,1956,3071.0
AL,1957,3109.0
AL,1958,3163.0
AL,1959,3204.0
AL,1960,3274.0
AL,1961,3316.0
AL,1962,3323.0
AL,1963,3358.0
AL,1964,3395.0
AL,1965,3443.0
AL,1966,3464.0
AL,1967,3458.0
AL,1968,3446.0
AL,1969,3440.0
AL,1970,3444.354
AL,1971,3497.076
AL,1972,3539.4
AL,1973,3579.78
AL,1974,3626.499
AL,1975,3678.814
AL,1976,3735.139
AL,1977,3780.403
AL,1978,3831.836
AL,1979,3866.248
AL,1980,3900.368
AL,1981,3918.531
AL,1982,3925.266
AL,1983,3934.102
AL,1984,3951.82
AL,1985,3972.523
AL,1986,3991.569
AL,1987,4015.264
AL,1988,4023.844
AL,1989,4030.222
AL,1990,4048.508
AL,1991,4091.025
AL,1992,4139.269
AL,1993,4193.114
AL,1994,4232.965
AL,1995,4262.731
AL,1996,4290.403
AL,1997,4320.281
AL,1998,4351.037
AL,1999,4369.862
AL,2000,4452.173
AL,2001,4467.634
AL,2002,4480.089
AL,2003,4503.491
AL,2004,4530.729
AL,2005,4569.805
AL,2006,4628.981
AL,2007,4672.84
AL,2008,4718.206
AL,2009,4757.938
AL,2010,4785.514
AL,2011,4799.642
AL,2012,4816.632
AL,2013,4831.586
AL,2014,4843.737
AL,2015,4854.803
AL,2016,4866.824
AL,2017,4877.989
AL,2018,4891.628
