state_abb,srf_total_all_years,srf_agreements_all_years,pop_avg,gdp_avg,srf_per_capita_avg,srf_per_gdp_avg,srf_commitment_index
AK,106297658.0,51.0,708551.1666666666,51316845833.333336,150.02114596758128,0.0020713988997927337,0.39
AL,250897810.04,38.0,4801661.5,201054875000.0,52.25229017913903,0.0012479071200835095,0.11000000000000001
AR,603475669.4300001,70.0,2920646.6666666665,116319383333.33333,206.62399061052693,0.005188092062873443,0.65
AZ,319790343.0,36.0,6561354.416666667,309962345833.3333,48.73846506259321,0.0010317070679673821,0.08
CA,6441962072.84,224.0,37678674.041666664,2396147129166.6665,170.97103963149573,0.0026884668284457096,0.49
CO,310691451.2,82.0,5225275.75,316183312500.0,59.45934072474548,0.000982630768029543,0.09000000000000001
CT,1004464568.95,44.0,3562184.625,249942645833.33334,281.9799293670805,0.004018780250969243,0.7
DE,271262126.0,43.0,920083.2083333334,67426504166.666664,294.82347198942193,0.004023078600211675,0.75
FL,1476711318.0,271.0,19678445.0,933574445833.3334,75.04207359880316,0.001581782068468946,0.21000000000000002
GA,1292403813.85,157.0,9877469.333333334,517520595833.3333,130.84361694635143,0.0024972992848118773,0.41000000000000003
HI,168579852.85,21.0,1370533.6666666667,75358375000.0,123.00307314595943,0.002237042038791309,0.37
IA,2124002040.8,667.0,3079927.0416666665,166447500000.0,689.6273879431317,0.012760792687183647,0.97
ID,160020520.92000002,31.0,1632096.0416666667,68586141666.666664,98.04601986326122,0.002333131986017098,0.33
IL,2854954048.87,247.0,12723016.791666666,756853337500.0,224.39285396054342,0.0037721364330642196,0.6000000000000001
IN,1716276741.0,125.0,6537417.875,325428229166.6667,262.53128893034085,0.005273902468126132,0.76
KS,597434515.21,81.0,2854663.0,147591104166.66666,209.28372813533508,0.004047903283759904,0.62
KY,184295730.0,43.0,4356402.833333333,187214583333.33334,42.304565727909235,0.0009844090493306477,0.05
LA,401121867.0,60.0,4567915.666666667,228089954166.66666,87.8128880371186,0.001758612598549158,0.26
MA,1846911663.91,260.0,6695639.75,476069479166.6667,275.83796812097006,0.003879500250977897,0.6799999999999999
MD,925125977.26,77.0,5862514.458333333,348017433333.3333,157.8036154682689,0.0026582748122675466,0.46
ME,329337470.44,165.0,1337397.5,59878537500.0,246.2524944453687,0.005500092089590532,0.75
MI,2456153479.0,142.0,9990509.666666666,468028883333.3333,245.84866647944455,0.005247867314314256,0.72
MN,930096149.0,161.0,5399529.541666667,319697958333.3333,172.25503478084653,0.002909296493004921,0.51
MO,1694634706.0,157.0,5992409.25,289431212500.0,282.7968910834987,0.005855051676570646,0.85
MS,434203763.42,56.0,2945726.9583333335,103942004166.66667,147.40122542303402,0.004177365704087948,0.5599999999999999
MT,211437751.0,71.0,1014967.1666666666,44311729166.666664,208.31979392436833,0.00477159783597552,0.6499999999999999
NC,778818817.0,123.0,9700021.833333334,492363033333.3333,80.29041896830094,0.0015817979098214185,0.22999999999999998
ND,496991000.0,80.0,711350.2083333334,46490404166.666664,698.6586834133797,0.010690184542562861,0.97
NE,363977633.0,62.0,1858329.9166666667,109713820833.33333,195.86276351449794,0.0033175185244247373,0.54
NH,453195483.68,190.0,1332967.125,74593795833.33333,339.9899931365524,0.006075511758277931,0.9299999999999999
NJ,2238654784.0,406.0,8878015.208333334,551203987500.0,252.15712425212905,0.004061390764158795,0.69
NM,237395308.94,73.0,2036938.1666666667,91457433333.33333,116.5451719766653,0.002595691791117398,0.4
NV,158771744.0,23.0,2763430.0416666665,149918091666.66666,57.45459143385528,0.0010590565970718122,0.11
NY,4536584406.57,467.0,19473665.791666668,1422865491666.6667,232.95996013813343,0.003188343826693058,0.5900000000000001
OH,3525516314.1,935.0,11597957.541666666,592235558333.3334,303.9773426859236,0.005952895371600942,0.91
OK,1147092617.58,126.0,3794612.875,173647520833.33334,302.2950312368821,0.006605868094603999,0.9199999999999999
OR,407927105.0,123.0,3921342.125,197886329166.66666,104.02742020373955,0.002061421355976692,0.31
PA,1335385709.33,168.0,12712205.083333334,672061012500.0,105.04752720523616,0.001987000710489808,0.31
PR,312813006.47,115.0,,,,,
RI,308102215.48,36.0,1068274.3333333333,54266745833.333336,288.4111373514232,0.005677550970648922,0.83
SC,351182393.0,84.0,4748437.5,202211020833.33334,73.95746348140835,0.0017367124281987185,0.22
SD,844697826.0,178.0,836267.0,45661570833.333336,1010.0815002863918,0.018499096955800817,1.0
TN,429216479.0,67.0,6469551.458333333,318774108333.3333,66.34408610308411,0.0013464596646324241,0.18
TX,1537243968.0,103.0,26214864.708333332,1523261175000.0,58.640164086421244,0.0010091795111892088,0.1
UT,114822000.0,9.0,2877947.0416666665,152825091666.66666,39.8971900238667,0.0007513295019017111,0.02
VA,921974693.55,341.0,8117649.333333333,471614941666.6667,113.57656086031145,0.0019549310509369817,0.31000000000000005
VT,40087919.49,174.0,628059.375,30091550000.0,63.828231988416704,0.0013321985570700081,0.16
WA,1104966180.4499998,230.0,6968733.791666667,459032062500.0,158.56053818146097,0.0024071655788750045,0.44
WI,1673322386.0,275.0,5709915.75,292312670833.3333,293.0555299349207,0.005724426454828813,0.86
WV,400942127.64,112.0,1819472.875,70193520833.33333,220.36169549381162,0.005711953509099398,0.73
WY,150289082.76,42.0,557585.8333333334,36593329166.666664,269.535332096852,0.0041070076481836,0.72
