state_abb,year,srf_agreements,srf_total_amount,population,gdp,srf_per_capita,srf_per_gdp,srf_cumulative
AK,2001,1.0,300000.0,633714.0,28660900000.0,0.4733996724074267,1.0467221894636944e-05,300000.0
AK,2002,0.0,0.0,642337.0,29884500000.0,0.0,0.0,300000.0
AK,2003,0.0,0.0,648414.0,32115800000.0,0.0,0.0,300000.0
AK,2004,0.0,0.0,659286.0,35389500000.0,0.0,0.0,300000.0
AK,2005,0.0,0.0,666946.0,40459900000.0,0.0,0.0,300000.0
AK,2006,0.0,0.0,675302.0,44951700000.0,0.0,0.0,300000.0
AK,2007,0.0,0.0,680300.0,49456400000.0,0.0,0.0,300000.0
AK,2008,0.0,0.0,687455.0,55246700000.0,0.0,0.0,300000.0
AK,2009,0.0,0.0,698895.0,50165900000.0,0.0,0.0,300000.0
AK,2010,0.0,0.0,713982.0,53654000000.0,0.0,0.0,300000.0
AK,2011,0.0,0.0,722349.0,56912300000.0,0.0,0.0,300000.0
AK,2012,0.0,0.0,730810.0,58320700000.0,0.0,0.0,300000.0
AK,2013,1.0,196928.0,737626.0,57533000000.0,0.26697540487997984,3.422870352667165e-06,496928.0
AK,2014,0.0,0.0,737075.0,56587400000.0,0.0,0.0,496928.0
AK,2015,2.0,1533700.0,738430.0,51574200000.0,2.076974120769741,2.9737737085597063e-05,2030628.0
AK,2016,3.0,17000000.0,742575.0,51121800000.0,22.893310440022894,0.00033253915159481864,19030628.0
AK,2017,2.0,7303000.0,740983.0,53550900000.0,9.855826651893498,0.00013637492553813288,26333628.0
AK,2018,3.0,3974000.0,736624.0,54762000000.0,5.394882599535177,7.256856944596618e-05,30307628.0
AK,2019,4.0,3478677.0,733603.0,54549600000.0,4.7419067261175325,6.37708984117207e-05,33786305.0
AK,2020,2.0,6014867.0,733017.0,51861700000.0,8.205630974452161,0.0001159789787068299,39801172.0
AK,2021,8.0,20996626.0,734420.0,59363000000.0,28.589398436861742,0.0003536988696662904,60797798.0
AK,2022,10.0,17930079.0,734442.0,65682500000.0,24.41319940853056,0.000272981068016595,78727877.0
AK,2023,4.0,8269957.0,736510.0,68232700000.0,11.228573950116088,0.00012120225346498087,86997834.0
AK,2024,11.0,19299824.0,740133.0,71567200000.0,26.07615658266825,0.00026967415240501235,106297658.0
AK,2025,8.0,18795843.0,740133.0,71567200000.0,25.395223561170763,0.00026263208564817405,125093501.0
AL,2001,0.0,0.0,4467634.0,123534500000.0,0.0,0.0,0.0
AL,2002,0.0,0.0,4480089.0,128380900000.0,0.0,0.0,0.0
AL,2003,0.0,0.0,4503491.0,135212600000.0,0.0,0.0,0.0
AL,2004,0.0,0.0,4530729.0,148379100000.0,0.0,0.0,0.0
AL,2005,0.0,0.0,4569805.0,158677300000.0,0.0,0.0,0.0
AL,2006,0.0,0.0,4628981.0,166048200000.0,0.0,0.0,0.0
AL,2007,0.0,0.0,4672840.0,172247000000.0,0.0,0.0,0.0
AL,2008,0.0,0.0,4718206.0,174665600000.0,0.0,0.0,0.0
AL,2009,0.0,0.0,4757938.0,170876500000.0,0.0,0.0,0.0
AL,2010,0.0,0.0,4785514.0,177510700000.0,0.0,0.0,0.0
AL,2011,0.0,0.0,4799642.0,182896700000.0,0.0,0.0,0.0
AL,2012,0.0,0.0,4816632.0,188280700000.0,0.0,0.0,0.0
AL,2013,0.0,0.0,4831586.0,193981500000.0,0.0,0.0,0.0
AL,2014,0.0,0.0,4843737.0,197064400000.0,0.0,0.0,0.0
AL,2015,0.0,0.0,4854803.0,203113300000.0,0.0,0.0,0.0
AL,2016,0.0,0.0,4866824.0,208824300000.0,0.0,0.0,0.0
AL,2017,0.0,0.0,4877989.0,216615500000.0,0.0,0.0,0.0
AL,2018,0.0,0.0,4891628.0,226263800000.0,0.0,0.0,0.0
AL,2019,0.0,0.0,4907965.0,234798200000.0,0.0,0.0,0.0
AL,2020,9.0,17587402.11,5033094.0,235859000000.0,3.494352004949639,7.456744118307971e-05,17587402.11
AL,2021,10.0,78439258.33,5049196.0,260325000000.0,15.53499969698146,0.0003013128140977624,96026660.44
AL,2022,8.0,74038555.6,5076181.0,286873300000.0,14.585483772150756,0.000258087997732797,170065216.04
AL,2023,4.0,61357425.0,5117673.0,309543800000.0,11.989321123096376,0.0001982188788791764,231422641.04
AL,2024,7.0,19475169.0,5157699.0,325345100000.0,3.775941364550355,5.986003477538159e-05,250897810.04
AL,2025,5.0,39300607.25,5157699.0,325345100000.0,7.619794650676591,0.00012079667789679328,290198417.28999996
AR,2001,0.0,0.0,2691571.0,71099600000.0,0.0,0.0,0.0
AR,2002,0.0,0.0,2705927.0,74453100000.0,0.0,0.0,0.0
AR,2003,0.0,0.0,2724816.0,79009700000.0,0.0,0.0,0.0
AR,2004,0.0,0.0,2749686.0,85928600000.0,0.0,0.0,0.0
AR,2005,0.0,0.0,2781097.0,91133400000.0,0.0,0.0,0.0
AR,2006,0.0,0.0,2821761.0,96073700000.0,0.0,0.0,0.0
AR,2007,0.0,0.0,2848650.0,98325000000.0,0.0,0.0,0.0
AR,2008,0.0,0.0,2874554.0,100206700000.0,0.0,0.0,0.0
AR,2009,0.0,0.0,2896843.0,97783900000.0,0.0,0.0,0.0
AR,2010,0.0,0.0,2921998.0,101699300000.0,0.0,0.0,0.0
AR,2011,0.0,0.0,2941038.0,105697600000.0,0.0,0.0,0.0
AR,2012,0.0,0.0,2952876.0,108836000000.0,0.0,0.0,0.0
AR,2013,0.0,0.0,2960459.0,114021100000.0,0.0,0.0,0.0
AR,2014,0.0,0.0,2968759.0,117388700000.0,0.0,0.0,0.0
AR,2015,0.0,0.0,2979732.0,118573600000.0,0.0,0.0,0.0
AR,2016,1.0,30000000.0,2991815.0,120987400000.0,10.027357975008481,0.00024795970489488987,30000000.0
AR,2017,0.0,0.0,3003855.0,123882600000.0,0.0,0.0,30000000.0
AR,2018,0.0,0.0,3012161.0,129213800000.0,0.0,0.0,30000000.0
AR,2019,0.0,0.0,3020985.0,132625799999.99998,0.0,0.0,30000000.0
